agent,label,seed,shortfall_bps,effective_bps,fill_frac,duration,children,vwap,arrival,scenario
ac,Almgren-Chriss,1031,3.556877843891377,3.556877843891377,1.0,57.5,20,99.959433,99.995,calm
heuristic,Heuristic,1031,3.148629530679525,3.527976398819784,0.9032,60.0,120,99.96351527900798,99.995,calm
pov,POV,1031,5.043152157608253,5.043152157608253,1.0,56.5,110,99.944571,99.995,calm
random,Random,1031,2.4894244712228364,2.4894244712228364,1.0,55.5,87,99.970107,99.995,calm
twap,TWAP,1031,4.109005450272488,4.109005450272488,1.0,57.5,20,99.953912,99.995,calm
vwap,VWAP,1031,5.286764338217071,5.286764338217071,1.0,57.5,20,99.942135,99.995,calm
ac,Almgren-Chriss,1032,4.041106165924044,4.041106165924044,1.0,57.5,20,99.944595,99.985,calm
heuristic,Heuristic,1032,4.350103064910658,4.678501775265769,0.91,60.0,120,99.94150549450548,99.985,calm
pov,POV,1032,3.616442466370648,3.616442466370648,1.0,59.0,114,99.948841,99.985,calm
random,Random,1032,4.94164124618653,4.94164124618653,1.0,57.0,96,99.935591,99.985,calm
twap,TWAP,1032,3.592638895834221,3.592638895834221,1.0,57.5,20,99.949079,99.985,calm
vwap,VWAP,1032,3.649247387107801,3.649247387107801,1.0,57.5,20,99.948513,99.985,calm
ac,Almgren-Chriss,1033,4.450432435134954,4.450432435134954,1.0,57.5,20,99.970489,100.015,calm
heuristic,Heuristic,1033,3.653636492082109,3.876218567214921,0.9093,60.0,120,99.97845815462443,100.015,calm
pov,POV,1033,3.602759586062763,3.602759586062763,1.0,60.0,117,99.978967,100.015,calm
random,Random,1033,4.397340398939388,4.397340398939388,1.0,54.0,90,99.97102,100.015,calm
twap,TWAP,1033,5.099135129729793,5.099135129729793,1.0,57.5,20,99.964001,100.015,calm
vwap,VWAP,1033,4.650602409638092,4.650602409638092,1.0,57.5,20,99.968487,100.015,calm
ac,Almgren-Chriss,1034,3.766811659416854,3.766811659416854,1.0,57.5,20,99.96733,100.005,calm
heuristic,Heuristic,1034,2.9803003736799325,3.2354382280885723,0.9079,60.0,120,99.975195506113,100.005,calm
pov,POV,1034,5.158742062896506,5.158742062896506,1.0,50.5,98,99.95341,100.005,calm
random,Random,1034,6.195990200489586,6.195990200489586,1.0,53.0,83,99.943037,100.005,calm
twap,TWAP,1034,3.863506824658648,3.863506824658648,1.0,57.5,20,99.966363,100.005,calm
vwap,VWAP,1034,3.936803159841906,3.936803159841906,1.0,57.5,20,99.96563,100.005,calm
ac,Almgren-Chriss,1035,2.975051247438397,2.975051247438397,1.0,57.5,20,99.975248,100.005,calm
heuristic,Heuristic,1035,5.341560109667123,5.63161841907936,0.9085,60.0,120,99.95158172812329,100.005,calm
pov,POV,1035,4.485875706214768,4.485875706214768,1.0,55.0,107,99.960139,100.005,calm
random,Random,1035,3.894627275108413,3.946202689866229,0.9888,60.0,95,99.96605177993528,100.005,calm
twap,TWAP,1035,3.0972451377436743,3.0972451377436743,1.0,57.5,20,99.974026,100.005,calm
vwap,VWAP,1035,3.226338683066516,3.226338683066516,1.0,57.5,20,99.972735,100.005,calm
ac,Almgren-Chriss,1036,2.6047302365123985,2.6047302365123985,1.0,57.5,20,99.968954,99.995,calm
